央视台,#genre#
CCTV4,http://[2409:8087:5011:1020::2d]/180000001001/00000001000000001001000000000052/main.m3u8?IASHttpSessionId=OTT
CCTV4,http://[2409:8087:5011:1020::2c]/180000001001/00000001000000001001000000000052/main.m3u8?IASHttpSessionId=OTT
CCTV4,http://[2409:8087:5011:1020::2b]/180000001001/00000001000000001001000000000052/main.m3u8?IASHttpSessionId=OTT
CCTV4,http://[2409:8087:5011:1020::2a]/180000001001/00000001000000001001000000000052/main.m3u8?IASHttpSessionId=OTT
CCTV4,http://[2409:8087:5011:1020::1a]/180000001001/00000001000000000002000000028006/main.m3u8?IASHttpSessionId=OTT
CCTV4,http://[2409:8087:5011:1020::1f]/180000001001/00000001000000001001000000000052/main.m3u8?IASHttpSessionId=OTT
CCTV4,http://[2409:8087:5011:1020::1e]/180000001001/00000001000000001001000000000052/main.m3u8?IASHttpSessionId=OTT
CCTV4,http://[2409:8087:5011:1020::1d]/180000001001/00000001000000001001000000000052/main.m3u8?IASHttpSessionId=OTT
CCTV4,http://[2409:8087:5011:1020::1b]/180000001001/00000001000000001001000000000052/main.m3u8?IASHttpSessionId=OTT
CCTV4,http://[2409:8087:5011:1020::1c]/180000001001/00000001000000001001000000000052/main.m3u8?IASHttpSessionId=OTT
CCTV4,http://[2409:8087:5050:20::3023]/180000001001/00000001000000001001000000000052/main.m3u8?IASHttpSessionId=OTT
CCTV4,http://[2409:8087:6a01:1020::c]/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225779/1/index.m3u8?fmt=ts2hls
CCTV4,http://[2409:8087:5e01:34::38]:6610/ZTE_CMS/00000001000000060000000000000485/index.m3u8?
CCTV4,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225621/2/index.m3u8
CCTV4,http://[2409:8087:4400:20:1:a0f:11:9]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226656/index.m3u8
CCTV4,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226191/1.m3u8
CCTV4,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8
CCTV4,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226303/index.m3u8
CCTV4,http://39.135.138.58:18890/PLTV/88888888/224/3221225621/index.m3u8?$移动蓝光1080P
CCTV4,http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8?icpid=88888888&from=30&hms_devid=1452
CCTV4,http://39.134.115.163:8080/PLTV/88888910/224/3221225621/.m3u8
CCTV4,http://111.20.40.164:80/PLTV/88888893/224/3221226191/index.m3u8?icpid=88888893&from=1&popid=1&hms_devid=844,683&prioritypopid=1
CCTV5,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225633/index.m3u8?世界杯WorldCup
CCTV5,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225751/index.m3u8?世界杯WorldCup
CCTV5,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225752/index.m3u8?世界杯WorldCup
CCTV5,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225753/index.m3u8?世界杯WorldCup
CCTV5,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225754/index.m3u8?世界杯WorldCup
CCTV5,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225756/index.m3u8?世界杯WorldCup
CCTV5,http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225756/index.m3u8?世界杯WorldCup
CCTV5,http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225751/index.m3u8?世界杯
CCTV5,http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225752/index.m3u8?世界杯
CCTV5,http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225753/index.m3u8?世界杯
CCTV5,http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225755/index.m3u8?世界杯
CCTV5,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225752/index.m3u8
CCTV5,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225751/index.m3u8
CCTV5,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225753/index.m3u8
CCTV5,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225756/index.m3u8
CCTV5,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226259/index.m3u8?fmt=ts2hls
CCTV5,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225633/2/index.m3u8?世界杯
CCTV5,http://[2409:8087:5011:1020::1d]/180000001001/00000001000000001001000000000053/main.m3u8?IASHttpSessionId=OTT
CCTV5,http://[2409:8087:5011:1020::1f]/180000001001/00000001000000001001000000000053/main.m3u8?IASHttpSessionId=OTT
CCTV5,http://[2409:8087:5011:1020::1c]/180000001001/00000001000000001001000000000053/main.m3u8?IASHttpSessionId=OTT
CCTV5,http://[2409:8087:5011:1020::1a]/180000001001/00000001000000001001000000000053/main.m3u8?IASHttpSessionId=OTT
CCTV5,http://[2409:8087:5011:1020::1b]/180000001001/00000001000000001001000000000053/main.m3u8?IASHttpSessionId=OTT
CCTV5,http://[2409:8087:5011:1020::2d]/180000001001/00000001000000001001000000000053/main.m3u8?IASHttpSessionId=OTT
CCTV5,http://[2409:8087:5011:1020::2a]/180000001001/00000001000000001001000000000053/main.m3u8?IASHttpSessionId=OTT
CCTV5,http://[2409:8087:5011:1020::2c]/180000001001/00000001000000001001000000000053/main.m3u8?IASHttpSessionId=OTT
CCTV5,http://[2409:8087:5050:20::3023]/180000001001/00000001000000001001000000000053/main.m3u8?IASHttpSessionId=OTT
CCTV5,http://[2409:8087:5011:1020::2d]/180000001001/00000001000000001001000000000053/main.m3u8?IASHttpSessionId=OTT?世界杯WorldCup
CCTV5,http://[2409:8087:5011:1020::1d]/180000001001/00000001000000001001000000000053/main.m3u8?IASHttpSessionId=OTT?世界杯WorldCup
